Date,ACWI Standard (Large+Mid Cap) 
2017-10-05,491.33
2017-10-06,490.89
2017-10-09,490.555
2017-10-10,493.001
2017-10-11,493.894
2017-10-12,493.924
2017-10-13,495.087
2017-10-16,495.799
2017-10-17,494.935
2017-10-18,495.661
2017-10-19,495.755
2017-10-20,496.393
2017-10-23,495.008
2017-10-24,495.158
2017-10-25,493.498
2017-10-26,493.664
2017-10-27,495.69
2017-10-30,495.964
2017-10-31,496.625
2017-11-01,498.077
2017-11-02,498.439
2017-11-03,498.859
2017-11-06,499.397
2017-11-07,499.576
2017-11-08,500.428
2017-11-09,498.586
2017-11-10,497.857
2017-11-13,496.608
2017-11-14,495.525
2017-11-15,492.815
2017-11-16,496.737
2017-11-17,496.748
2017-11-20,497.279
2017-11-21,500.511
2017-11-22,501.434
2017-11-23,501.905
2017-11-24,503.349
2017-11-27,502.02
2017-11-28,504.454
2017-11-29,504.117
2017-11-30,505.442
2017-12-01,503.471
2017-12-04,503.919
2017-12-05,502.33
2017-12-06,500.299
2017-12-07,501.417
2017-12-08,504.079
2017-12-11,506.234
2017-12-12,506.306
2017-12-13,506.844
2017-12-14,505.506
2017-12-15,507.081
2017-12-18,511.679
2017-12-19,510.121
2017-12-20,509.963
2017-12-21,511.189
2017-12-22,511.286
2017-12-25,511.363
2017-12-26,511.097
2017-12-27,512.233
2017-12-28,513.511
2017-12-29,513.026
2018-01-01,512.983
2018-01-02,516.757
2018-01-03,519.15
2018-01-04,523.265
2018-01-05,526.686
2018-01-08,527.285
2018-01-09,528.016
2018-01-10,527.725
2018-01-11,529.739
2018-01-12,533.235
2018-01-15,535.221
2018-01-16,534.405
2018-01-17,537.136
2018-01-18,536.704
2018-01-19,539.266
2018-01-22,542.501
2018-01-23,545.173
2018-01-24,545.99
2018-01-25,546.684
2018-01-26,550.317
2018-01-29,546.888
2018-01-30,541.496
2018-01-31,541.673
2018-02-01,541.209
2018-02-02,531.462
2018-02-05,515.735
2018-02-06,512.965
2018-02-07,513.297
2018-02-08,500.704
2018-02-09,500.907
2018-02-12,506.837
2018-02-13,508.445
2018-02-14,514.952
2018-02-15,521.253
2018-02-16,522.6
2018-02-19,522.245
2018-02-20,519.812
2018-02-21,518.917
2018-02-22,518.202
2018-02-23,524.119
2018-02-26,528.397
2018-02-27,523.832
2018-02-28,518.079
2018-03-01,511.904
2018-03-02,511.338
2018-03-05,514.623
2018-03-06,517.965
2018-03-07,517.331
2018-03-08,519.647
2018-03-09,525.445
2018-03-12,527.295
2018-03-13,525.306
2018-03-14,522.867
2018-03-15,522.487
2018-03-16,522.474
2018-03-19,516.89
2018-03-20,517.332
2018-03-21,516.946
2018-03-22,508.48
2018-03-23,499.363
2018-03-26,506.9
2018-03-27,504.134
2018-03-28,501.272
2018-03-29,505.44
2018-03-30,505.808
2018-04-02,499.649
2018-04-03,501.891
2018-04-04,503.816
2018-04-05,508.552
2018-04-06,502.315
2018-04-09,504.181
2018-04-10,511.041
2018-04-11,509.432
2018-04-12,511.292
2018-04-13,510.523
2018-04-16,512.491
2018-04-17,516.119
2018-04-18,518.316
2018-04-19,517.052
2018-04-20,512.736
2018-04-23,511.67
2018-04-24,508.082
2018-04-25,506.321
2018-04-26,509.911
2018-04-27,511.314
2018-04-30,509.694
2018-05-01,509.001
2018-05-02,506.899
2018-05-03,505.039
2018-05-04,508.834
2018-05-07,510.608
2018-05-08,510.387
2018-05-09,513.618
2018-05-10,517.233
2018-05-11,519.462
2018-05-14,520.584
2018-05-15,516.14
2018-05-16,517.037
2018-05-17,517.012
2018-05-18,515.656
2018-05-21,517.722
2018-05-22,517.598
2018-05-23,515.862
2018-05-24,514.856
2018-05-25,513.448
2018-05-28,512.682
2018-05-29,506.987
2018-05-30,509.961
2018-05-31,508.769
2018-06-01,512.767
2018-06-04,516.377
2018-06-05,515.719
2018-06-06,519.747
2018-06-07,519.898
2018-06-08,519.154
2018-06-11,520.758
2018-06-12,521.071
2018-06-13,519.697
2018-06-14,519.54
2018-06-15,517.205
2018-06-18,514.993
2018-06-19,510.78
2018-06-20,512.581
2018-06-21,509.337
2018-06-22,511.682
2018-06-25,504.489
2018-06-26,504.911
2018-06-27,501.466
2018-06-28,501.879
2018-06-29,505.198
2018-07-02,503.096
2018-07-03,503.001
2018-07-04,502.937
2018-07-05,505.839
2018-07-06,509.899
2018-07-09,514.483
2018-07-10,515.519
2018-07-11,510.92
2018-07-12,514.122
2018-07-13,515.217
2018-07-16,514.535
2018-07-17,515.716
2018-07-18,516.473
2018-07-19,514.447
2018-07-20,515.889
2018-07-23,515.915
2018-07-24,518.999
2018-07-25,521.744
2018-07-26,521.801
2018-07-27,520.73
2018-07-30,518.929
2018-07-31,519.818
2018-08-01,518.988
2018-08-02,517.54
2018-08-03,519.534
2018-08-06,519.823
2018-08-07,522.338
2018-08-08,522.185
2018-08-09,521.602
2018-08-10,515.61
2018-08-13,511.92
2018-08-14,513.993
2018-08-15,508.317
2018-08-16,511.497
2018-08-17,513.08
2018-08-20,515.192
2018-08-21,517.175
2018-08-22,518.418
2018-08-23,516.84
2018-08-24,519.596
2018-08-27,524.555
2018-08-28,525.182
2018-08-29,526.94
2018-08-30,524.28
2018-08-31,522.881
2018-09-03,521.948
2018-09-04,519.302
2018-09-05,516.135
2018-09-06,514.078
2018-09-07,512.966
2018-09-10,513.392
2018-09-11,514.028
2018-09-12,515.169
2018-09-13,518.023
2018-09-14,519.461
2018-09-17,517.497
2018-09-18,520.187
2018-09-19,521.983
2018-09-20,526.136
2018-09-21,527.863
2018-09-24,525.866
2018-09-25,526.088
2018-09-26,525.28
2018-09-27,525.443
2018-09-28,524.253
2018-10-01,525.061
2018-10-02,523.361
2018-10-03,523.46
2018-10-04,518.209
2018-10-05,514.686
2018-10-08,512.718
2018-10-09,511.545
2018-10-10,500.545
2018-10-11,489.405
2018-10-12,494.759
2018-10-15,492.515
2018-10-16,500.94
2018-10-17,500.524
2018-10-18,494.472
2018-10-19,494.047
2018-10-22,492.779
2018-10-23,487.369
2018-10-24,477.291
2018-10-25,480.831
2018-10-26,475.106
2018-10-29,473.521
2018-10-30,478.191
2018-10-31,484.571
2018-11-01,489.476
2018-11-02,489.974
2018-11-05,490.583
2018-11-06,492.704
2018-11-07,500.232
2018-11-08,499.566
2018-11-09,494.482
2018-11-12,486.569
